datetime,open,high,low,close,volume,hold,open_interest
2026-04-30 14:15:00,1009.26,1010.18,1008.82,1010.0,1040,154376.0,
2026-04-30 14:30:00,1009.94,1010.86,1009.4,1010.58,3508,154106.0,
2026-04-30 14:45:00,1010.58,1012.5,1010.58,1012.16,5253,154121.0,
2026-04-30 15:00:00,1012.16,1016.32,1012.08,1016.12,195,153650.0,
2026-05-06 09:15:00,1018.82,1019.82,1015.88,1016.32,11379,154048.0,
2026-05-06 09:30:00,1016.32,1019.86,1016.1,1019.68,7418,154209.0,
2026-05-06 09:45:00,1019.68,1020.32,1019.1,1019.46,6079,154546.0,
2026-05-06 10:00:00,1019.94,1020.38,1019.18,1019.58,4247,154464.0,
2026-05-06 10:15:00,1020.02,1021.3,1019.42,1021.0,4719,154616.0,
2026-05-06 10:45:00,1020.68,1021.36,1019.76,1021.3,700,155119.0,
2026-05-06 11:00:00,1021.3,1022.9,1021.14,1022.82,4353,155361.0,
2026-05-06 11:15:00,1022.6,1024.78,1022.4,1024.34,5600,155065.0,
2026-05-06 11:30:00,1024.3,1025.14,1023.7,1023.96,5184,155223.0,
2026-05-06 13:45:00,1024.12,1025.22,1023.46,1024.48,6197,155159.0,
2026-05-06 14:00:00,1024.42,1027.48,1024.34,1027.2,6658,155630.0,
2026-05-06 14:15:00,1027.2,1027.96,1026.22,1027.02,2808,155376.0,
2026-05-06 14:30:00,1027.02,1028.08,1026.3,1027.88,5123,155504.0,
2026-05-06 14:45:00,1028.2,1028.48,1027.06,1027.82,6821,154732.0,
2026-05-06 15:00:00,1028.1,1028.48,1027.7,1028.48,4900,154376.0,
2026-05-06 21:15:00,1030.8,1033.58,1028.74,1031.5,16436,155982.0,
2026-05-06 21:30:00,1031.54,1032.92,1030.82,1031.98,6803,156287.0,
2026-05-06 21:45:00,1031.78,1034.94,1031.08,1034.1,9626,156571.0,
2026-05-06 22:00:00,1034.04,1036.6,1033.64,1035.58,9163,157102.0,
2026-05-06 22:15:00,1035.58,1037.86,1035.2,1037.5,8933,157328.0,
2026-05-06 22:30:00,1037.56,1038.82,1036.3,1036.5,3150,157449.0,
2026-05-06 22:45:00,1036.44,1037.9,1036.08,1037.72,6196,157562.0,
2026-05-06 23:00:00,1037.72,1037.84,1035.42,1035.74,6596,157879.0,
2026-05-06 23:15:00,1035.74,1036.38,1033.98,1034.54,5499,157550.0,
2026-05-06 23:30:00,1034.52,1035.82,1034.2,1034.38,3788,157599.0,
2026-05-06 23:45:00,1034.36,1034.68,1032.68,1033.46,3676,157581.0,
2026-05-07 00:00:00,1033.62,1034.14,1032.76,1032.76,2495,157425.0,
2026-05-07 00:15:00,1032.74,1032.96,1031.6,1031.9,4000,157500.0,
2026-05-07 00:30:00,1031.9,1032.8,1031.78,1032.76,2602,157348.0,
2026-05-07 00:45:00,1032.8,1033.56,1032.3,1033.12,2496,157223.0,
2026-05-07 01:00:00,1033.08,1033.3,1031.22,1031.94,2334,157203.0,
2026-05-07 01:15:00,1031.84,1032.84,1031.38,1032.34,274,157301.0,
2026-05-07 01:30:00,1032.4,1032.42,1031.2,1031.7,1546,157270.0,
2026-05-07 01:45:00,1031.7,1031.76,1031.04,1031.36,1177,157200.0,
2026-05-07 02:00:00,1031.36,1032.14,1031.32,1032.04,1063,157169.0,
2026-05-07 02:15:00,1032.04,1032.66,1031.74,1032.56,1108,157248.0,
2026-05-07 02:30:00,1032.56,1033.2,1032.5,1032.9,1274,157080.0,
2026-05-07 09:15:00,1032.26,1037.12,1031.68,1036.82,9991,157011.0,
2026-05-07 09:30:00,1036.8,1038.06,1035.02,1035.26,2429,156831.0,
2026-05-07 09:45:00,1035.12,1037.08,1034.74,1036.1,6074,157162.0,
2026-05-07 10:00:00,1036.22,1037.88,1036.1,1036.64,5131,157190.0,
2026-05-07 10:15:00,1036.62,1037.44,1034.52,1034.64,4611,156901.0,
2026-05-07 10:45:00,1034.44,1034.94,1033.6,1034.76,4083,156868.0,
2026-05-07 11:00:00,1034.76,1035.68,1034.46,1035.04,2736,156752.0,
2026-05-07 11:15:00,1035.04,1035.52,1034.42,1034.7,2092,156667.0,
2026-05-07 11:30:00,1034.66,1035.2,1034.3,1034.3,1834,156545.0,
2026-05-07 13:45:00,1033.0,1035.0,1032.88,1034.4,1260,156555.0,
2026-05-07 14:00:00,1034.34,1034.8,1033.66,1033.74,3106,156484.0,
2026-05-07 14:15:00,1033.68,1035.82,1033.66,1035.44,3794,156348.0,
2026-05-07 14:30:00,1035.44,1037.2,1035.34,1037.12,4850,156238.0,
2026-05-07 14:45:00,1037.14,1043.5,1036.86,1042.86,16358,157197.0,
2026-05-07 15:00:00,1042.84,1042.84,1040.48,1040.98,43,157027.0,
2026-05-07 21:15:00,1043.12,1043.12,1039.7,1040.18,11866,157588.0,
2026-05-07 21:30:00,1040.18,1042.5,1039.62,1042.3,5694,157570.0,
2026-05-07 21:45:00,1042.26,1044.96,1041.88,1043.1,10175,158084.0,
2026-05-07 22:00:00,1043.08,1043.28,1040.94,1042.66,9069,158076.0,
2026-05-07 22:15:00,1042.8,1044.44,1041.86,1044.02,6875,158183.0,
2026-05-07 22:30:00,1044.1,1045.3,1042.02,1044.72,3174,158512.0,
2026-05-07 22:45:00,1044.7,1045.14,1043.12,1043.92,6183,158390.0,
2026-05-07 23:00:00,1043.92,1046.2,1043.8,1045.98,5898,158821.0,
2026-05-07 23:15:00,1045.98,1046.3,1044.1,1044.1,5778,158546.0,
2026-05-07 23:30:00,1044.08,1044.46,1040.92,1041.56,8173,158459.0,
2026-05-07 23:45:00,1041.6,1042.8,1041.36,1041.4,4538,158405.0,
2026-05-08 00:00:00,1041.4,1041.46,1039.02,1039.5,5984,158377.0,
2026-05-08 00:15:00,1039.56,1039.56,1036.42,1036.84,7999,158322.0,
2026-05-08 00:30:00,1036.84,1038.34,1034.56,1037.66,9111,158221.0,
2026-05-08 00:45:00,1037.66,1037.86,1035.84,1036.16,3963,158153.0,
2026-05-08 01:00:00,1036.1,1037.64,1036.0,1036.94,3323,158194.0,
2026-05-08 01:15:00,1036.94,1038.02,1036.54,1037.0,878,158332.0,
2026-05-08 01:30:00,1037.0,1037.6,1031.4,1034.0,9414,158425.0,
2026-05-08 01:45:00,1033.74,1034.94,1032.66,1033.78,5231,158230.0,
2026-05-08 02:00:00,1033.8,1036.38,1033.58,1036.26,3403,157892.0,
2026-05-08 02:15:00,1036.26,1036.46,1035.2,1035.48,2324,158070.0,
2026-05-08 02:30:00,1035.48,1036.98,1034.88,1036.58,1970,157885.0,
2026-05-08 09:15:00,1034.1,1038.16,1034.1,1036.92,2699,158125.0,
2026-05-08 09:30:00,1036.92,1037.64,1036.4,1036.66,3394,158187.0,
2026-05-08 09:45:00,1036.58,1036.9,1035.18,1036.0,4761,157689.0,
2026-05-08 10:00:00,1036.0,1038.8,1036.0,1037.96,5621,157510.0,
2026-05-08 10:15:00,1037.96,1039.88,1037.72,1038.3,5416,157402.0,
2026-05-08 10:45:00,1038.0,1038.28,1035.08,1035.66,279,156992.0,
2026-05-08 11:00:00,1035.76,1037.0,1035.22,1036.0,14,157011.0,
2026-05-08 11:15:00,1036.34,1037.36,1036.34,1037.28,308,157082.0,
2026-05-08 11:30:00,1037.28,1037.82,1036.86,1037.3,93,157008.0,
2026-05-08 13:45:00,1037.3,1038.72,1037.3,1037.78,665,157154.0,
2026-05-08 14:00:00,1037.78,1039.24,1037.52,1038.64,47,157236.0,
2026-05-08 14:15:00,1037.18,1038.16,1035.68,1037.44,419,156801.0,
2026-05-08 14:30:00,1037.48,1039.6,1037.22,1039.44,339,156831.0,
2026-05-08 14:45:00,1038.54,1039.08,1038.48,1038.78,108,156549.0,
2026-05-08 15:00:00,1038.14,1038.42,1037.2,1038.22,676,156036.0,
2026-05-08 21:15:00,1037.98,1038.8,1035.8,1036.58,9162,156563.0,
2026-05-08 21:30:00,1036.58,1038.22,1036.56,1038.1,4646,156561.0,
2026-05-08 21:45:00,1038.1,1041.44,1038.08,1040.14,11338,157542.0,
2026-05-08 22:00:00,1040.14,1042.3,1039.6,1042.24,7317,158052.0,
2026-05-08 22:15:00,1042.18,1042.5,1036.34,1038.5,67,157923.0,
2026-05-08 22:30:00,1038.58,1038.98,1036.02,1036.22,51,158063.0,
2026-05-08 22:45:00,1036.0,1037.4,1035.12,1036.82,9,158140.0,
2026-05-08 23:00:00,1036.82,1037.2,1034.7,1035.36,33,158215.0,
2026-05-08 23:15:00,1035.36,1036.18,1033.2,1033.44,31,158300.0,
2026-05-08 23:30:00,1033.5,1034.58,1032.86,1034.58,46,157794.0,
2026-05-08 23:45:00,1034.52,1034.98,1033.0,1033.32,34,157639.0,
2026-05-09 00:15:00,1033.24,1034.46,1032.94,1034.24,22,157050.0,
2026-05-09 00:30:00,1034.26,1035.38,1034.24,1035.38,40,156928.0,
2026-05-09 00:45:00,1035.38,1035.86,1034.58,1034.6,5,156904.0,
2026-05-09 01:00:00,1034.52,1035.14,1034.0,1034.32,4,156889.0,
2026-05-09 01:15:00,1034.28,1035.08,1034.24,1035.04,19,156804.0,
2026-05-09 01:30:00,1035.0,1036.3,1035.0,1036.08,3,156780.0,
2026-05-09 01:45:00,1036.06,1036.56,1035.9,1036.3,33,156783.0,
2026-05-09 02:00:00,1036.32,1036.66,1035.84,1036.28,3,156778.0,
2026-05-09 02:15:00,1036.28,1037.72,1036.12,1037.52,14,156664.0,
2026-05-09 02:30:00,1037.52,1037.84,1036.86,1037.2,11,156324.0,
2026-05-11 00:00:00,1033.26,1034.0,1032.2,1033.2,31,157169.0,
2026-05-11 09:15:00,1028.0,1031.82,1025.62,1030.12,28315,155619.0,
2026-05-11 09:30:00,1030.16,1032.76,1029.52,1031.42,4456,155143.0,
2026-05-11 09:45:00,1031.42,1031.68,1029.62,1030.36,5873,154658.0,
2026-05-11 10:00:00,1030.32,1031.06,1027.5,1028.7,6219,154454.0,
2026-05-11 10:15:00,1028.68,1030.1,1027.24,1028.44,6196,154529.0,
2026-05-11 10:45:00,1028.64,1031.6,1028.44,1028.8,7100,154407.0,
2026-05-11 11:00:00,1028.84,1029.88,1026.48,1027.36,8699,154747.0,
2026-05-11 11:15:00,1027.26,1029.08,1026.04,1028.68,4500,154356.0,
2026-05-11 11:30:00,1028.68,1029.6,1027.92,1029.42,3337,154074.0,
2026-05-11 13:45:00,1025.6,1029.42,1023.46,1023.7,3827,154614.0,
2026-05-11 14:00:00,1023.78,1024.12,1020.16,1021.3,12038,154007.0,
2026-05-11 14:15:00,1021.34,1024.36,1020.82,1023.96,5981,153820.0,
2026-05-11 14:30:00,1023.92,1025.16,1023.92,1024.52,399,153766.0,
2026-05-11 14:45:00,1024.42,1026.58,1024.42,1026.2,4784,153206.0,
2026-05-11 15:00:00,1026.2,1027.22,1025.46,1026.8,140,152539.0,
2026-05-11 21:15:00,1031.68,1035.7,1031.3,1035.6,15884,153559.0,
2026-05-11 21:30:00,1035.62,1038.4,1035.5,1036.82,12498,153861.0,
2026-05-11 21:45:00,1036.82,1039.92,1036.82,1039.52,10220,154704.0,
2026-05-11 22:00:00,1039.46,1040.3,1037.24,1037.76,257,154746.0,
2026-05-11 22:15:00,1037.76,1038.08,1034.68,1036.76,39,153588.0,
2026-05-11 22:30:00,1036.72,1037.2,1035.6,1035.6,46,153654.0,
2026-05-11 22:45:00,1035.6,1037.2,1033.96,1037.0,5,153359.0,
2026-05-11 23:00:00,1036.98,1037.2,1035.56,1035.94,2,153185.0,
2026-05-11 23:15:00,1035.96,1036.92,1035.28,1036.36,10,152986.0,
2026-05-11 23:30:00,1036.46,1038.18,1036.18,1037.18,4,153141.0,
2026-05-11 23:45:00,1037.24,1037.68,1036.08,1036.26,101,152866.0,
2026-05-12 00:00:00,1036.18,1037.18,1035.74,1037.08,46,152904.0,
2026-05-12 00:15:00,1037.08,1037.52,1036.22,1036.32,6,152868.0,
2026-05-12 00:30:00,1036.32,1036.4,1035.1,1035.46,4,152793.0,
2026-05-12 00:45:00,1035.46,1035.92,1032.66,1033.12,9,152601.0,
2026-05-12 01:00:00,1033.12,1034.32,1032.68,1034.16,23,152485.0,
2026-05-12 01:15:00,1034.16,1034.84,1034.08,1034.48,8,152371.0,
2026-05-12 01:30:00,1034.48,1035.3,1034.2,1034.66,6,152248.0,
2026-05-12 01:45:00,1034.66,1035.6,1034.6,1035.44,8,152208.0,
2026-05-12 02:00:00,1035.44,1035.6,1035.14,1035.48,2,152265.0,
2026-05-12 02:15:00,1035.5,1036.0,1035.28,1035.48,6,152296.0,
2026-05-12 02:30:00,1035.48,1036.6,1035.12,1036.44,26,152147.0,
2026-05-12 09:15:00,1041.06,1042.9,1039.86,1040.76,375,152162.0,
2026-05-12 09:30:00,1040.76,1041.82,1038.18,1038.52,608,151406.0,
2026-05-12 09:45:00,1037.56,1037.82,1035.52,1037.28,2741,151112.0,
2026-05-12 10:00:00,1037.3,1037.5,1036.06,1036.68,45,151162.0,
2026-05-12 10:15:00,1036.68,1037.66,1036.22,1037.34,48,151057.0,
2026-05-12 10:45:00,1036.48,1037.14,1035.14,1037.08,18,150663.0,
2026-05-12 11:00:00,1037.14,1037.8,1036.76,1037.1,467,150551.0,
2026-05-12 11:15:00,1037.06,1037.54,1036.38,1037.26,723,150156.0,
2026-05-12 11:30:00,1035.84,1036.2,1035.3,1035.52,1,149881.0,
2026-05-12 13:45:00,1034.0,1035.7,1033.1,1033.84,131,149639.0,
2026-05-12 14:00:00,1033.84,1034.6,1033.12,1033.74,56,149063.0,
2026-05-12 14:15:00,1032.46,1032.96,1031.42,1031.96,6,148660.0,
2026-05-12 14:30:00,1031.94,1032.46,1029.86,1030.18,85,147964.0,
2026-05-12 14:45:00,1031.52,1031.88,1030.42,1031.32,19,147129.0,
2026-05-12 15:00:00,1030.48,1030.52,1029.68,1030.12,123,146394.0,
2026-05-12 21:15:00,1032.0,1032.72,1028.12,1028.44,9894,146605.0,
2026-05-12 21:30:00,1028.44,1029.7,1026.3,1028.72,9130,146904.0,
2026-05-12 21:45:00,1028.72,1030.94,1027.46,1030.44,7943,146896.0,
2026-05-12 22:00:00,1030.44,1030.88,1026.12,1026.6,7414,146846.0,
2026-05-12 22:15:00,1026.66,1029.62,1026.14,1029.16,7180,146581.0,
2026-05-12 22:30:00,1029.2,1029.38,1027.26,1027.4,1700,146521.0,
2026-05-12 22:45:00,1027.4,1028.24,1025.04,1027.88,7015,146531.0,
2026-05-12 23:00:00,1027.86,1027.86,1024.58,1025.22,6436,146789.0,
2026-05-12 23:15:00,1025.22,1025.82,1023.46,1023.5,7123,147022.0,
2026-05-12 23:30:00,1023.5,1023.9,1018.04,1022.34,15866,147772.0,
2026-05-12 23:45:00,1022.32,1024.5,1021.66,1024.1,6403,147459.0,
2026-05-13 00:00:00,1024.1,1025.24,1023.92,1024.38,2896,147275.0,
2026-05-13 00:15:00,1024.38,1025.68,1024.0,1025.4,3014,147115.0,
2026-05-13 00:30:00,1025.4,1026.0,1024.36,1024.72,2587,147010.0,
2026-05-13 00:45:00,1024.72,1025.38,1024.2,1025.02,1660,146918.0,
2026-05-13 01:00:00,1025.02,1026.1,1024.54,1025.46,1964,146780.0,
2026-05-13 01:15:00,1025.46,1026.98,1025.46,1026.26,908,146438.0,
2026-05-13 01:30:00,1026.26,1027.3,1026.26,1026.72,1949,146262.0,
2026-05-13 01:45:00,1026.72,1026.92,1026.16,1026.76,1296,146231.0,
2026-05-13 02:00:00,1026.76,1026.86,1026.24,1026.52,860,146144.0,
2026-05-13 02:15:00,1026.46,1027.68,1026.2,1027.08,1643,146013.0,
2026-05-13 02:30:00,1027.08,1028.32,1026.28,1026.28,1405,145676.0,
2026-05-13 09:15:00,1033.62,1034.18,1027.1,1032.34,13664,144455.0,
2026-05-13 09:30:00,1032.36,1032.54,1030.86,1031.1,4564,144124.0,
2026-05-13 09:45:00,1031.04,1032.46,1030.46,1032.04,4710,143427.0,
2026-05-13 10:00:00,1032.06,1032.36,1030.52,1030.82,2873,143271.0,
2026-05-13 10:15:00,1030.82,1031.84,1030.12,1030.56,3307,143123.0,
2026-05-13 10:45:00,1030.4,1030.56,1028.8,1028.96,4326,143655.0,
2026-05-13 11:00:00,1028.96,1029.26,1027.18,1028.34,4186,143425.0,
2026-05-13 11:15:00,1028.26,1028.8,1027.64,1028.5,3194,143263.0,
2026-05-13 11:30:00,1028.56,1030.4,1028.3,1030.32,1214,142734.0,
2026-05-13 13:45:00,1030.08,1030.72,1028.44,1029.4,5136,142673.0,
2026-05-13 14:00:00,1029.5,1031.1,1029.2,1030.82,33,142550.0,
2026-05-13 14:15:00,1030.84,1032.7,1030.68,1032.58,600,142493.0,
2026-05-13 14:30:00,1032.48,1033.54,1031.56,1031.84,1120,142184.0,
2026-05-13 14:45:00,1031.8,1032.88,1031.56,1032.46,43,142111.0,
2026-05-13 15:00:00,1032.54,1032.64,1030.56,1030.56,965,141285.0,
2026-05-13 21:15:00,1026.96,1028.58,1026.76,1028.36,8647,141791.0,
2026-05-13 21:30:00,1028.36,1029.38,1027.74,1028.12,4995,142026.0,
2026-05-13 21:45:00,1028.0,1028.5,1024.7,1025.84,9465,142501.0,
2026-05-13 22:00:00,1025.88,1026.7,1024.1,1026.0,6984,142430.0,
2026-05-13 22:15:00,1026.0,1026.8,1024.82,1026.56,5849,142391.0,
2026-05-13 22:30:00,1026.56,1027.16,1024.74,1027.02,2500,142444.0,
2026-05-13 22:45:00,1027.02,1028.34,1026.74,1026.92,5037,142462.0,
2026-05-13 23:00:00,1026.86,1027.14,1025.68,1025.94,4544,142689.0,
2026-05-13 23:15:00,1025.9,1028.06,1025.78,1027.52,4269,142826.0,
2026-05-13 23:30:00,1027.6,1028.52,1027.02,1028.42,2622,142885.0,
2026-05-13 23:45:00,1028.42,1030.38,1027.74,1030.26,4303,143242.0,
2026-05-14 00:00:00,1030.26,1030.28,1029.24,1029.48,2464,143250.0,
2026-05-14 00:15:00,1029.48,1030.88,1029.42,1030.72,3182,143058.0,
2026-05-14 00:30:00,1030.74,1032.44,1029.82,1031.8,4804,142999.0,
2026-05-14 00:45:00,1031.86,1031.94,1030.32,1030.46,3120,142989.0,
2026-05-14 01:00:00,1030.46,1030.74,1029.4,1029.58,2057,142946.0,
2026-05-14 01:15:00,1029.64,1030.64,1029.56,1030.46,253,142818.0,
2026-05-14 01:30:00,1030.46,1030.64,1029.8,1030.12,1258,142806.0,
2026-05-14 01:45:00,1030.12,1030.12,1028.52,1028.84,2946,143004.0,
2026-05-14 02:00:00,1028.84,1029.44,1027.48,1027.68,2151,142892.0,
2026-05-14 02:15:00,1027.68,1028.9,1027.46,1028.9,1470,142926.0,
2026-05-14 02:30:00,1028.9,1029.2,1028.3,1029.2,1150,142884.0,
2026-05-14 09:15:00,1031.12,1031.52,1026.52,1027.52,11033,142200.0,
2026-05-14 09:30:00,1027.88,1028.42,1026.6,1027.9,3866,141703.0,
2026-05-14 09:45:00,1027.9,1028.3,1025.98,1027.14,5889,141460.0,
2026-05-14 10:00:00,1027.14,1028.76,1026.3,1027.42,5424,141235.0,
2026-05-14 10:15:00,1027.42,1028.54,1026.94,1027.28,3322,141076.0,
2026-05-14 10:45:00,1027.8,1029.4,1027.0,1027.38,5291,141041.0,
2026-05-14 11:00:00,1027.38,1027.84,1025.5,1026.44,5955,140701.0,
2026-05-14 11:15:00,1026.44,1027.24,1025.5,1025.8,3359,140640.0,
2026-05-14 11:30:00,1025.78,1027.86,1025.58,1027.66,3289,140317.0,
2026-05-14 13:45:00,1027.98,1029.78,1027.66,1028.88,5795,140225.0,
2026-05-14 14:00:00,1028.9,1030.0,1027.16,1027.34,2913,139409.0,
2026-05-14 14:15:00,1027.18,1027.82,1026.24,1026.46,3,139210.0,
2026-05-14 14:30:00,1026.46,1027.68,1026.16,1027.36,804,138882.0,
2026-05-14 14:45:00,1027.36,1028.84,1027.14,1028.76,29,138971.0,
2026-05-14 15:00:00,1028.7,1029.6,1028.16,1029.6,662,138738.0,
2026-05-14 21:15:00,1030.4,1031.2,1028.44,1030.4,7223,139189.0,
2026-05-14 21:30:00,1030.4,1030.46,1026.72,1026.72,7606,139006.0,
2026-05-14 21:45:00,1026.74,1026.98,1022.3,1024.2,13007,139267.0,
2026-05-14 22:00:00,1024.18,1027.08,1024.06,1024.66,9097,139256.0,
2026-05-14 22:15:00,1024.76,1027.22,1024.42,1026.68,6748,138884.0,
2026-05-14 22:30:00,1026.76,1029.06,1026.58,1027.34,2493,138839.0,
2026-05-14 22:45:00,1027.3,1027.48,1026.1,1026.22,3619,138687.0,
2026-05-14 23:00:00,1026.26,1026.9,1024.64,1024.68,3862,138773.0,
2026-05-14 23:15:00,1024.68,1026.26,1024.12,1025.9,4588,138849.0,
2026-05-14 23:30:00,1025.9,1027.22,1025.8,1026.34,3020,138749.0,
2026-05-14 23:45:00,1026.36,1027.02,1025.4,1025.78,2222,138573.0,
2026-05-15 00:00:00,1025.8,1026.4,1025.32,1026.18,1723,138582.0,
2026-05-15 00:15:00,1026.14,1026.42,1023.88,1024.68,4059,138844.0,
2026-05-15 00:30:00,1024.68,1025.14,1024.18,1024.5,1696,138776.0,
2026-05-15 00:45:00,1024.5,1024.7,1023.16,1024.12,2869,138857.0,
2026-05-15 01:00:00,1024.16,1024.96,1023.16,1024.86,1637,138743.0,
2026-05-15 01:15:00,1024.82,1025.8,1024.82,1024.88,208,138568.0,
2026-05-15 01:30:00,1024.82,1025.7,1024.6,1024.74,1204,138506.0,
2026-05-15 01:45:00,1024.68,1025.66,1024.3,1025.5,1105,138446.0,
2026-05-15 02:00:00,1025.5,1025.54,1024.82,1024.9,785,138464.0,
2026-05-15 02:15:00,1024.9,1024.96,1022.92,1023.86,2689,138604.0,
2026-05-15 02:30:00,1023.86,1024.5,1023.72,1024.48,1507,138601.0,
2026-05-15 09:15:00,1015.2,1024.48,1010.3,1012.14,24664,138788.0,
2026-05-15 09:30:00,1012.16,1014.92,1010.7,1010.98,9083,137641.0,
2026-05-15 09:45:00,1012.12,1014.06,1010.8,1014.02,7159,136830.0,
2026-05-15 10:00:00,1012.62,1014.48,1010.86,1012.22,7683,136259.0,
2026-05-15 10:15:00,1012.42,1013.8,1011.6,1012.68,5014,135506.0,
2026-05-15 10:45:00,1012.3,1013.34,1011.6,1013.34,4819,135182.0,
2026-05-15 11:00:00,1013.48,1014.44,1012.14,1013.4,4773,134682.0,
2026-05-15 11:15:00,1013.4,1014.36,1012.64,1013.44,3977,134315.0,
2026-05-15 11:30:00,1011.94,1013.6,1011.6,1012.06,4272,134028.0,
2026-05-15 13:45:00,1008.0,1012.06,1001.64,1003.12,4812,133547.0,
2026-05-15 14:00:00,1003.12,1004.52,1001.36,1001.78,2294,131580.0,
2026-05-15 14:15:00,1002.2,1004.38,1002.0,1003.78,2067,130204.0,
2026-05-15 14:30:00,1003.84,1005.94,1003.74,1005.34,80,129078.0,
2026-05-15 14:45:00,1005.66,1006.12,1003.56,1003.68,55,128282.0,
2026-05-15 15:00:00,1003.66,1004.74,1002.92,1004.38,90,127211.0,
2026-05-15 21:15:00,999.62,1000.76,997.5,999.94,15859,126987.0,
2026-05-15 21:30:00,999.94,1002.2,998.76,1000.4,7037,126822.0,
2026-05-15 21:45:00,1000.58,1001.0,994.72,994.76,14014,127451.0,
2026-05-15 22:00:00,994.72,999.52,993.0,997.9,12817,127274.0,
2026-05-15 22:15:00,997.9,1001.18,996.08,999.7,9391,127061.0,
2026-05-15 22:30:00,999.7,1003.2,999.1,1001.82,3614,126639.0,
2026-05-15 22:45:00,1001.86,1002.86,1001.06,1002.22,5461,126482.0,
2026-05-15 23:00:00,1002.1,1004.5,1000.3,1003.72,452,126295.0,
2026-05-15 23:15:00,1003.72,1003.88,1001.5,1001.66,16,126111.0,
2026-05-15 23:30:00,1001.66,1001.88,1000.0,1000.64,25,126104.0,
2026-05-15 23:45:00,1000.64,1001.44,999.4,999.62,55,126176.0,
2026-05-16 00:15:00,999.56,999.62,997.0,998.0,5,126395.0,
2026-05-16 00:30:00,997.9,999.96,997.62,999.68,1,126231.0,
2026-05-16 00:45:00,999.76,1001.12,999.52,1000.92,2,126121.0,
2026-05-16 01:00:00,1000.92,1001.12,999.84,1000.42,2,125992.0,
2026-05-16 01:15:00,1000.42,1003.0,1000.28,1002.72,13,125640.0,
2026-05-16 01:30:00,1002.72,1004.3,1002.26,1002.98,26,125579.0,
2026-05-16 01:45:00,1003.0,1004.4,1003.0,1003.68,3,125438.0,
2026-05-16 02:00:00,1003.7,1004.12,1003.0,1003.6,14,125371.0,
2026-05-16 02:15:00,1003.6,1004.08,1002.92,1004.02,6,125335.0,
2026-05-16 02:30:00,1004.08,1004.34,1002.5,1003.52,80,125223.0,
2026-05-18 00:00:00,999.72,1000.48,998.22,999.52,89,126270.0,
2026-05-18 09:15:00,992.94,993.1,987.84,989.86,37076,124178.0,
2026-05-18 09:30:00,989.8,992.82,989.44,991.8,11901,122921.0,
2026-05-18 09:45:00,991.8,993.82,991.3,993.82,9609,122241.0,
2026-05-18 10:00:00,993.72,998.94,993.72,996.52,10831,121304.0,
2026-05-18 10:15:00,996.56,999.62,996.1,999.26,6253,121291.0,
2026-05-18 10:45:00,998.78,999.68,997.64,998.88,4811,121287.0,
2026-05-18 11:00:00,998.88,1000.0,997.64,998.3,4526,120817.0,
2026-05-18 11:15:00,998.28,998.66,997.14,997.34,4410,120520.0,
2026-05-18 11:30:00,997.34,999.2,997.22,998.6,3204,120212.0,
2026-05-18 13:45:00,1001.28,1001.6,998.6,998.94,8023,119815.0,
2026-05-18 14:00:00,998.94,999.62,997.12,997.34,2923,119543.0,
2026-05-18 14:15:00,997.34,998.82,997.02,998.12,5738,119282.0,
2026-05-18 14:30:00,998.12,999.98,997.5,997.88,5810,118874.0,
2026-05-18 14:45:00,997.98,999.32,997.34,998.1,5614,118590.0,
2026-05-18 15:00:00,998.26,999.84,997.78,999.8,150,117961.0,
2026-05-18 21:15:00,1003.3,1005.48,1002.28,1003.2,12558,117302.0,
2026-05-18 21:30:00,1003.2,1004.98,1002.62,1004.16,5029,116890.0,
2026-05-18 21:45:00,1004.14,1005.88,1003.08,1003.26,8522,116845.0,
2026-05-18 22:00:00,1003.28,1006.6,1002.8,1005.12,7858,116535.0,
2026-05-18 22:15:00,1005.18,1005.18,1002.0,1002.96,9133,116746.0,
